ID,title,currency,price,location,meters,image,links
1,Departamento En Venta - 3 Dormitorios 1 Baño - 70mts2 - San Telmo,US$,150000,"Avenida Paseo Colón E/ Avenida Juan De Garay Y Cochabamba, San Telmo, Capital Federal",70.0,https://http2.mlstatic.com/D_NQ_NP_2X_691447-MLA78900980457_092024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1900066838-departamento-en-venta-3-dormitorios-1-bano-70mts2-san-telmo-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=189efd2d-6e4d-480c-8549-9387c8d57d7e
2,Vende Depto Con Cochera En El Corazón De Caballito,US$,63000,"Colpayo Al 40, Caballito, Capital Federal",26.0,https://http2.mlstatic.com/D_NQ_NP_2X_746392-MLA78652356200_092024-E.webp,https://departamento.mercadolibre.com.ar/MLA-1899466324-vende-depto-con-cochera-en-el-corazon-de-caballito-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=189efd2d-6e4d-480c-8549-9387c8d57d7e
3,3 Ambientes Ph · 84m² · Potencial Dormitorio 3 Con 2 Patios En Pb Contrafrente,US$,100000,"Gregorio De Laferrere Al 2000, Parque Chacabuco, Capital Federal",84.0,https://http2.mlstatic.com/D_NQ_NP_2X_662758-MLA78738865516_092024-E.webp,https://inmueble.mercadolibre.com.ar/MLA-1901968402-3-ambientes-ph-84m-potencial-dormitorio-3-con-2-patios-en-pb-contrafrente-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=189efd2d-6e4d-480c-8549-9387c8d57d7e
4,Depto 2 Amb Con Balcon A La Venta En Caballito,US$,90000,"Rosario 600, Caballito, Capital Federal",44.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1899197334-depto-2-amb-con-balcon-a-la-venta-en-caballito-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=189efd2d-6e4d-480c-8549-9387c8d57d7e
5,Fideicomiso Al Costo 3 Ambientes Premium Barrio Naón Balcón Terraza Y Parrilla,US$,149310,"Ercilla 7600, Mataderos, Capital Federal",75.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://departamento.mercadolibre.com.ar/MLA-1899204348-fideicomiso-al-costo-3-ambientes-premium-barrio-naon-balcon-terraza-y-parrilla-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=189efd2d-6e4d-480c-8549-9387c8d57d7e
6,Casa 581 M2. Pileta. Quincho. Galpon. Impecable,US$,156000,"MIGUEL CANE 4400, Quilmes, Bs.As. G.B.A. Sur",294.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://casa.mercadolibre.com.ar/MLA-1446836161-casa-581-m2-pileta-quincho-galpon-impecable-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=189efd2d-6e4d-480c-8549-9387c8d57d7e
7,Casa De 175m² Sobre Terreno De 111m² A Reciclar Terraza Y Parrilla Gran Oportunidad!,US$,135000,"Constitución  Al 2800, San Cristóbal, Capital Federal",175.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://casa.mercadolibre.com.ar/MLA-1902019658-casa-de-175m-sobre-terreno-de-111m-a-reciclar-terraza-y-parrilla-gran-oportunidad-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=189efd2d-6e4d-480c-8549-9387c8d57d7e
8,Edificio De Oficinas En San Nicolás,US$,190000,"Uruguay  783, San Nicolás, Capital Federal",52.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://inmueble.mercadolibre.com.ar/MLA-1899441900-edificio-de-oficinas-en-san-nicolas-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=189efd2d-6e4d-480c-8549-9387c8d57d7e
9,Barrio Privado En Pueblos Del Plata Country Club,US$,58000,"C. 63, Guillermo Enrique Hudson, Provincia De Buenos Aires, Argentina,Berazategui, Guillermo Enrique Hudson, Berazategui, Bs.As. G.B.A. Sur",,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://terreno.mercadolibre.com.ar/MLA-1447825267-barrio-privado-en-pueblos-del-plata-country-club-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=189efd2d-6e4d-480c-8549-9387c8d57d7e
10,Ph 3 Amb Al Frente Independiente Con Patio Y Terraza Apto Credito,US$,64000,"General Arenales 396, Ramos Mejía, Provincia De Buenos Aires, Argentina, Ramos Mejía, La Matanza, Bs.As. G.B.A. Oeste",50.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://inmueble.mercadolibre.com.ar/MLA-1900161794-ph-3-amb-al-frente-independiente-con-patio-y-terraza-apto-credito-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=189efd2d-6e4d-480c-8549-9387c8d57d7e
